institution,page_title,program_name,credential,campus,source_url,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,notes_uncertain
MacEwan,Supply Chain Management Minor | MacEwan University Academic Catalog,Supply Chain Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-supply-chain-management/,,,,,,[],[],['not a program page']
MacEwan,Digital Experience Design Minor | MacEwan University Academic Catalog,Digital Experience Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-digital-experience-design/,,,,,,[],[],['not a program page']
MacEwan,Film Minor | MacEwan University Academic Catalog,Film Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-film/,,,,,,[],[],['not a program page']
MacEwan,Graphic Design Minor | MacEwan University Academic Catalog,Graphic Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-graphic-design,,,,,,[],[],['not a program page']
MacEwan,Graphic Design Minor | MacEwan University Academic Catalog,Graphic Design Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-graphic-design/,,,,,,[],[],['not a program page']
MacEwan,Journalism Minor | MacEwan University Academic Catalog,Journalism Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-journalism/,,,,,,[],[],['not a program page']
MacEwan,Professional Communication Minor | MacEwan University Academic Catalog,Professional Communication Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-professional-communication/,,,,,,[],[],['not a program page']
MacEwan,Music Career Management Minor | MacEwan University Academic Catalog,Music Career Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bmus-music-career-management/,,,,,,[],[],['not a program page']
MacEwan,Music Education Minor | MacEwan University Academic Catalog,Music Education Minor,Minor,,https://calendar.macewan.ca/programs/min-bmus-music-education/,,,,,,[],[],['not a program page']
MacEwan,Music Technology and Production Minor | MacEwan University Academic Catalog,Music Technology and Production Minor,Minor,,https://calendar.macewan.ca/programs/min-bmus-music-technology-production/,,,,,,[],[],['not a program page']
MacEwan,Songwriting Minor | MacEwan University Academic Catalog,Songwriting Minor,Minor,,https://calendar.macewan.ca/programs/min-bmus-songwriting/,,,,,,[],[],['not a program page']
MacEwan,Cybersecurity Studies Minor | MacEwan University Academic Catalog,Cybersecurity Studies Minor,Minor,,https://calendar.macewan.ca/programs/min-bpsj-cybersecurity-studies/,,,,,,[],[],['not a program page']
MacEwan,Post-Baccalaureate Certificate in Behaviour Analysis | MacEwan University Academic Catalog,Behaviour Analysis,Post-Baccalaureate Certificate,City Centre Campus,https://calendar.macewan.ca/programs/post-baccalaureate-certificate-programs/behaviour-analysis/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Digital Experience Design | MacEwan University Academic Catalog,Digital Experience Design,Post-Diploma Certificate,,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/digital-experience-design/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Gerontology | MacEwan University Academic Catalog,Gerontology,Post-Diploma Certificate,,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/gerontology/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Hospice Palliative Care | MacEwan University Academic Catalog,Hospice Palliative Care,Post-Diploma Certificate,,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/hospice-palliative-care/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Occupational Health Nursing | MacEwan University Academic Catalog,Occupational Health Nursing (OHN),Post-Diploma Certificate,Online distance delivery,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/occupational-health-nursing/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Perioperative Nursing for Registered Nurses and Licensed Practical Nurses | MacEwan University Academic Catalog,Perioperative Nursing,Post-Diploma Certificate,Online distance delivery and classroom lab,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/perioperative-nursing/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,English as a Additional Language (EAL) | MacEwan University Academic Catalog,English as an Additional Language (EAL),,,https://calendar.macewan.ca/programs/university-entrance/eal/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Alberta Foundation Program | MacEwan University Academic Catalog,Alberta Foundation Program (AFP),,,https://calendar.macewan.ca/programs/university-entrance/foundation-alberta/,,,,,,[],[],"['Program is temporarily suspended due to funding.', 'Specific admission requirements are not listed in the provided text.']"
MacEwan,Foundation Program - International | MacEwan University Academic Catalog,Foundation Program International,,,https://calendar.macewan.ca/programs/university-entrance/foundation-international/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Foundation Program - pimâcihisowin | MacEwan University Academic Catalog,pimâcihisowin Foundation Program (PFP),,,https://calendar.macewan.ca/programs/university-entrance/foundation-pimacihisowin/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Academic Upgrading | MacEwan University Academic Catalog,Academic Upgrading,,,https://calendar.macewan.ca/programs/university-entrance/university-preparation/,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
MacEwan,Bachelor of Physical Education Transfer | MacEwan University Academic Catalog,Bachelor of Physical Education Transfer,,Robbins Health Learning Centre,https://calendar.macewan.ca/programs/university-transfer/bpe-physical-education-transfer/,,,,,,[],[],['Specific courses and averages are not listed in the text.']
NAIT,C/C++ Programming Language - NAIT,C/C++ Programming Language,,Online,https://www.nait.ca/coned/c-cpp-programming-language,,,,,,[],[],"['This is a Continuing Education listing for courses (CCTP135, CCTP136).']"
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/coned/career-programs,,,,,,[],[],['not a program page']
NAIT,Construction Leadership and Supervision Program - NAIT,Construction Leadership and Supervision (CLS),Certificate,Online,https://www.nait.ca/coned/construction-leadership-and-supervision-program,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Core Programming - NAIT,Core Programming,,Online,https://www.nait.ca/coned/core-programming,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Digital Marketing Program - NAIT,Digital Marketing,Professional Certificate,Online,https://www.nait.ca/coned/digital-marketing-program,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,National Payroll Institute Designation Programs - NAIT,National Payroll Institute Designation Programs,PCP and PLP designations,,https://www.nait.ca/coned/national-payroll-institute-program,,,,,,[],[],['Specific admission requirements like high school grades are not listed in the provided text.']
NAIT,Programmable Logic Controller I - NAIT,Programmable Logic Controller Level I,Certificate of Achievement,Main Campus / Online,https://www.nait.ca/coned/programmable-logic-controller,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Programmable Logic Controller II - NAIT,Programmable Logic Controller Level II,Certificate of Achievement,Main Campus,https://www.nait.ca/coned/programmable-logic-controller-ii,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Water and Wastewater Technician Programming (Distance) - NAIT,Water and Wastewater Technician,Specialized Certificate,Distance learning / NAIT Main Campus (for labs),https://www.nait.ca/coned/water-wastewater-tech-programming-distance,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/continuing-education/programs-and-courses,,,,,,[],[],['not a program page']
NAIT,Credit Program Students - NAIT,Credit Program Students,,,https://www.nait.ca/nait-authorized-agents/credit-program-students,,,,,,[],[],['not a program page']
NAIT,After Your Student Applies - NAIT,After Your Student Applies,,,https://www.nait.ca/nait-authorized-agents/credit-program-students/after-your-student-applies,,,,,,[],[],['not a program page']
NAIT,Before Your Student Applies - NAIT,Before Your Student Applies,,,https://www.nait.ca/nait-authorized-agents/credit-program-students/before-your-student-applies,,,,,,[],[],['not a program page']
NAIT,Glossary of NAIT Terms - MyNAIT - NAIT,Glossary of NAIT Terms - MyNAIT,,,https://www.nait.ca/nait-authorized-agents/credit-program-students/definition-of-nait-terms,,,,,,[],[],['not a program page']
NAIT,How To Apply - NAIT,How To Apply,,,https://www.nait.ca/nait-authorized-agents/credit-program-students/how-to-apply,,,,,,[],[],['not a program page']
NAIT,NAIT joins program launch to help students from the Philippines study in Canada - NAIT,NAIT joins program launch to help students from the Philippines study in Canada,,,https://www.nait.ca/nait/about/newsroom/2017/nait-joins-program-launch-to-help-students-from-th,,,,,,[],[],['not a program page'] | not a program page
NAIT,New drill rig operator program launched at NAIT - NAIT,New drill rig operator program launched at NAIT,,,https://www.nait.ca/nait/about/newsroom/2017/new-drill-rig-operator-program-launched-at-nait,,,,,,[],[],['not a program page'] | not a program page
NAIT,Get hands-on with NAIT programs at Open House - NAIT,Get hands-on with NAIT programs at Open House,,,https://www.nait.ca/nait/about/newsroom/2018/get-hands-on-with-nait-programs-at-open-house,,,,,,[],[],['not a program page'] | not a program page
NAIT,NAIT shifts to online lecture and theory program delivery until at least Jan. 21 - NAIT,NAIT shifts to online lecture and theory program delivery until at least Jan. 21,,,https://www.nait.ca/nait/about/newsroom/2021/nait-shifts-to-online-lecture-and-theory-program-d,,,,,,[],[],['not a program page'] | not a program page
NAIT,5 programs receive government funding for expansion - NAIT,5 programs receive government funding for expansion,,,https://www.nait.ca/nait/about/newsroom/2022/5-programs-receive-government-funding-for-expansio,,,,,,[],[],['not a program page'] | not a program page
NAIT,Women of Steel™: Forging Forward Program Comes to Edmonton - NAIT,Women of Steel™: Forging Forward Program Comes to Edmonton,,,https://www.nait.ca/nait/about/newsroom/2023/women-of-steel™-forging-forward-program-comes-to-e,,,,,,[],[],['not a program page'] | not a program page
NAIT,NAIT launches 5 new programs - NAIT,NAIT launches 5 new programs,,,https://www.nait.ca/nait/about/newsroom/2024/nait-launches-5-new-programs,,,,,,[],[],['not a program page'] | not a program page
NAIT,"New NAIT program to bring more women-identifying individuals to construction, energy and manufacturi - NAIT","New NAIT program to bring more women-identifying individuals to construction, energy and manufacturi",,,https://www.nait.ca/nait/about/newsroom/2024/new-nait-program-to-bring-more-women-identifying-i,,,,,,[],[],['not a program page'] | not a program page
NAIT,Unique “Queers and Peers Mentorship” program celebrates 3 years at NAIT - NAIT,Unique “Queers and Peers Mentorship” program celebrates 3 years at NAIT,,,https://www.nait.ca/nait/about/newsroom/2024/unique-queers-and-peers-mentorship-program-celebra,,,,,,[],[],['not a program page'] | not a program page
NAIT,NAIT Launches Engagement Phase for Paused Programs - NAIT,NAIT Launches Engagement Phase for Paused Programs,,,https://www.nait.ca/nait/about/newsroom/2025/nait-launches-engagement-phase-for-paused-programs,,,,,,[],[],['not a program page'] | not a program page
NAIT,NAIT reviews programs for future growth and innovation - NAIT,NAIT reviews programs for future growth and innovation,,,https://www.nait.ca/nait/about/newsroom/2025/nait-reviews-programs-for-future-growth-and-innova,,,,,,[],[],['not a program page'] | not a program page
NAIT,New pilot program aims to fast-track medical device innovation - NAIT,New pilot program aims to fast-track medical device innovation,,,https://www.nait.ca/nait/about/newsroom/2025/new-pilot-program-aims-to-fast-track-medical-devic,,,,,,[],[],['not a program page'] | not a program page
NAIT,All other NAIT programs - NAIT,All other NAIT programs,,,https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/english-language-proficiency/formal-assessment/all-other-nait-programs,,,,,,[],[],['not a program page']
NAIT,Health Science - NAIT,Health Science,,,https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/english-language-proficiency/formal-assessment/most-health-science-programs,,,,,,[],[],['not a program page']
NAIT,Competitive Entrance - NAIT,Competitive Entrance,,,https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/how-does-nait-evaluate-my-application/competitive-entrance-programs,,,,,,[],[],['not a program page']
NAIT,Find a Program - NAIT,Find a Program,,,https://www.nait.ca/nait/admissions/programs,,,,,,[],[],['not a program page']
NAIT,Choosing Your NAIT Program - NAIT,Choosing Your NAIT Program,,,https://www.nait.ca/nait/admissions/programs/choosing-your-nait-program,,,,,,[],[],['not a program page']
NAIT,Tips for Mature Students - NAIT,Tips for Mature Students,,,https://www.nait.ca/nait/admissions/programs/mature-students,,,,,,[],[],['not a program page']
NAIT,Program Availability | NAIT,Program Availability,,,https://www.nait.ca/nait/admissions/programs/program-availability-domestic,,,,,,[],[],['not a program page']
NAIT,Program Availability | NAIT,Program Availability,,,https://www.nait.ca/nait/admissions/programs/program-availability-international,,,,,,[],[],['not a program page']
NAIT,Program Previews  - NAIT,Program Previews,,,https://www.nait.ca/nait/admissions/tours-events-and-info-sessions/program-previews,,,,,,[],[],['not a program page']
NAIT,Business Innovation Showcase - NAIT,Business Innovation Showcase,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/business-innovation-showcase,,,,,,[],[],['not a program page']
NAIT,Entrepreneurship Blue Book Program - NAIT,Entrepreneurship Blue Book Program,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/entrepreneurial-blue-book-program,,,,,,[],[],['not a program page']
NAIT,Innovation Challenge - NAIT,Innovation Challenge,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/innovation-challenge,,,,,,[],[],['not a program page']
NAIT,Pitch it to Me - NAIT,Pitch it to Me,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/pitch-it-to-me,,,,,,[],[],['not a program page']
NAIT,Mawji Student Ambassador Program - NAIT,Mawji Student Ambassador Program,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/student-ambassador-program,,,,,,[],[],['not a program page']
NAIT,FAQ - Applying to a Program at NAIT - NAIT,FAQ - Applying to a Program at NAIT,,,https://www.nait.ca/nait/contact/faq/applying-to-a-program-at-nait,,,,,,[],[],['not a program page'] | not a program page
NAIT,CCTB140 - n-Tier Development Programming Architecture - NAIT,n-Tier Development Programming Architecture,Course / part of Database Administrator program,Online,https://www.nait.ca/nait/continuing-education/courses/cctb140-n-tier-development-programming-architect,,,,,,[],[],['This is a course-level page.']
NAIT,CCTB673 - Fundamentals of Cloud Programming - NAIT,Fundamentals of Cloud Programming,Course / part of Data Engineer Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/cctb673-fundamentals-of-cloud-programming,,,,,,[],[],['This is a course-level page.']
NAIT,CCTP10 - Introduction to Programming - NAIT,Introduction to Programming,Course / part of Core Programming or Python Developer,Online,https://www.nait.ca/nait/continuing-education/courses/cctp10-introduction-to-programming,,,,,,[],[],['This is a course-level page.']
NAIT,CCTP135 - CLA: Programming Essentials in C - NAIT,CLA: Programming Essentials in C,Course / part of C/C++ Programming Language group,Online,https://www.nait.ca/nait/continuing-education/courses/cctp135-cla-programming-essentials-in-c,,,,,,[],[],['This is a course-level page.']
NAIT,CCTP136 - CPA: Programming Essentials in C++ - NAIT,CPA: Programming Essentials in C++,Course / part of C/C++ Programming Language group,Online,https://www.nait.ca/nait/continuing-education/courses/cctp136-cpa-programming-essentials-in-c,,,,,,[],[],['This is a course-level page.']
NAIT,CCTP21 - Programming Python Web Applications - NAIT,Programming Python Web Applications,Course / part of Core Programming or Python Developer,,https://www.nait.ca/nait/continuing-education/courses/cctp21-programming-python-web-applications,,,,,,[],[],['This is a course-level page.']
NAIT,CDEM306 - Business Continuity Management Program (BCMP) Sustainment - NAIT,Business Continuity Management Program (BCMP) Sustainment,Course / part of Business Continuity Certificate or Business Risk Management,Online,https://www.nait.ca/nait/continuing-education/courses/cdem306-business-continuity-management-program-(bc,,,,,,[],[],['This is a course-level page.']
NAIT,CDEM605 - Implementing a Crisis Management Program - NAIT,Implementing a Crisis Management Program,Course / part of Advanced Healthcare Leadership or Crisis Management Essentials Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/cdem605-implementing-a-crisis-management-program,,,,,,[],[],['This is a course-level page.']
NAIT,CPAY500 - Payroll Professional Program - NAIT,Payroll Professional Program,Course / part of National Payroll Institute Designation Programs,,https://www.nait.ca/nait/continuing-education/courses/cpay500-payroll-professional-program,,,,,,[],[],['This is a course-level page.']
NAIT,IACC106 - Introduction to CNC Programming - NAIT,Introduction to CNC Programming,"Course / part of Industrial Automation and Controls or Robotics, Automation and Control Certificate",Main Campus,https://www.nait.ca/nait/continuing-education/courses/iacc106-introduction-to-cnc-programming,,,,,,[],[],['This is a course-level page.']
NAIT,INSP101 - Home Inspection Training Program: Communication and Professional Practice - NAIT,Home Inspection Training Program: Communication and Professional Practice,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp101-home-inspection-training-program-communica,,,,,,[],[],['This is a course-level page.']
NAIT,INSP102 - Home Inspection Training Program: Structure - NAIT,Home Inspection Training Program: Structure,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp102-home-inspection-training-program-structure,,,,,,[],[],['This is a course-level page.']
NAIT,INSP103 - Home Inspection Training Program: Insulation and Interior - NAIT,Home Inspection Training Program: Insulation and Interior,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp103-home-inspection-training-program-insulatio,,,,,,[],[],['This is a course-level page.']
NAIT,INSP104 - Home Inspection Training Program: Exterior - NAIT,Home Inspection Training Program: Exterior,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp104-home-inspection-training-program-exterior,,,,,,[],[],['This is a course-level page.']
NAIT,INSP105 - Home Inspection Training Program: Roofing - NAIT,Home Inspection Training Program: Roofing,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp105-home-inspection-training-program-roofing,,,,,,[],[],['This is a course-level page.']
NAIT,INSP201 - Home Inspection Training Program: Electrical - NAIT,Home Inspection Training Program: Electrical,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp201-home-inspection-training-program-electrica,,,,,,[],[],['This is a course-level page.']
NAIT,INSP202 - Home Inspection Training Program: Heating I - NAIT,Home Inspection Training Program: Heating I,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp202-home-inspection-training-program-heating-i,,,,,,[],[],['This is a course-level page.']
NAIT,INSP203 - Home Inspection Training Program: Heating II - NAIT,Home Inspection Training Program: Heating II,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp203-home-inspection-training-program-heating-i,,,,,,[],[],['This is a course-level page.']
NAIT,INSP204 - Home Inspection Training Program: Air Conditioning and Heat Pumps - NAIT,Home Inspection Training Program: Air Conditioning and Heat Pumps,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp204-home-inspection-training-program-air-condi,,,,,,[],[],['This is a course-level page.']
NAIT,INSP205 - Home Inspection Training Program: Plumbing - NAIT,Home Inspection Training Program: Plumbing,Course / part of Home Inspection Certificate,Online,https://www.nait.ca/nait/continuing-education/courses/insp205-home-inspection-training-program-plumbing,,,,,,[],[],['This is a course-level page.']
NAIT,MACH204 - Basic Machine Centre Programming - NAIT,Basic Machine Centre Programming - Milling,Course / part of Computer Numerical Control (CNC) Certificate,Main Campus,https://www.nait.ca/nait/continuing-education/courses/mach204-basic-machine-centre-programming,,,,,,[],[],['This is a course-level page.']
NAIT,MACH205 - Intermediate Machine Centre Programming - NAIT,Intermediate Machine Centre Programming - Milling,Course / part of Computer Numerical Control (CNC) Certificate,Main Campus,https://www.nait.ca/nait/continuing-education/courses/mach205-intermediate-machine-centre-programming,,,,,,[],[],['This is a course-level page.']
NAIT,MACH206 - Advanced Machining Centre Programming - NAIT,Advanced Machining Centre Programming - Milling,Course / part of Computer Numerical Control (CNC) Certificate,Main Campus,https://www.nait.ca/nait/continuing-education/courses/mach206-advanced-machining-centre-programming,,,,,,[],[],['This is a course-level page.']
NAIT,MACH304 - Basic Turning Centre Programming - NAIT,Basic Turning Centre Programming - Lathe,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach304-basic-turning-centre-programming,,,,,,[],[],['This is a course-level page.']
NAIT,MACH305 - Intermediate Turning Centre Programming - NAIT,Intermediate Turning Centre Programming - Lathe,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach305-intermediate-turning-centre-programming,,,,,,[],[],['This is a course-level page.']
NAIT,MACH306 - Advanced Turning Centre Programming - NAIT,Advanced Turning Centre Programming - Lathe,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach306-advanced-turning-centre-programming,,,,,,[],[],['This is a course-level page.']
NAIT,SMEC140 - Siemens Digital Fundamentals and Programmable Logic Controllers - NAIT,Siemens Digital Fundamentals and Programmable Logic Controllers,Course,,https://www.nait.ca/nait/continuing-education/courses/smec140-siemens-digital-fundamentals-and-programma,,,,,,[],[],['This is a course-level page.']
NAIT,EMR - Program Completion - NAIT,Emergency Medical Responder (EMR),,,https://www.nait.ca/nait/continuing-education/forms/emr-program-completion,,,,,,[],[],['This is an application form for program completion.']
NAIT,Quality Management Referral Form - NAIT,Quality Management Referral Form,,,https://www.nait.ca/nait/continuing-education/forms/quality-management-program-registration,,,,,,[],[],['not a program page']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/business-leadership,,,,,,[],[],['not a program page']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/construction-trades-and-manufacturing,,,,,,[],[],['not a program page']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/energy-and-environment,,,,,,[],[],['not a program page']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/health,,,,,,[],[],['not a program page']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/how-to-register-for-non-credit-programs-and-course,,,,,,[],[],['not a program page']
NAIT,Corporate Training Inquiry - NAIT,Corporate Training Inquiry,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/how-to-register-for-non-credit-programs-and-course/group-registration-and-corporate-training,,,,,,[],[],['not a program page']
NAIT,Online Professional Development,Online Professional Development,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/online-professional-development,,,,,,[],[],['not a program page']
NAIT,Continuing Education Programs & Courses,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/productivity-and-project-management,,,,,,[],[],['not a program page']
NAIT,Advanced Healthcare Leadership - NAIT,Advanced Healthcare Leadership,,,https://www.nait.ca/nait/continuing-education/programs/advanced-healthcare-leadership,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Agentic AI Foundation - NAIT,Agentic AI Foundation,Certificate,,https://www.nait.ca/nait/continuing-education/programs/agentic-ai-foundation,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,AI and Data Governance Certificate - NAIT,AI and Data Governance for Innovation and Impact,Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/ai-and-data-governance-certificate,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,AI-Driven Project Management - NAIT,AI-Driven Project Management,,Online,https://www.nait.ca/nait/continuing-education/programs/ai-driven-project-management,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Apple iOS iPhone/iPad Mobile Developer Certificate - NAIT,Apple iOS iPhone/iPad Mobile Developer,Certificate of Achievement,Main Campus,https://www.nait.ca/nait/continuing-education/programs/apple-ios-iphone-ipad-mobile-developer-certificate,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Blockchain Smart Contract - NAIT,Blockchain Smart Contract,,,https://www.nait.ca/nait/continuing-education/programs/blockchain-smart-contract,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Breast Sonography - NAIT,Breast Sonography,Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/breast-sonography,,,,,,[],[],['Specific admission requirements like high school grades are not listed in the text.']
NAIT,Business Risk Management - NAIT,Business Risk Management,,,https://www.nait.ca/nait/continuing-education/programs/business-risk-management,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Canadian Registered Safety Technician (CRST) - NAIT,Canadian Registered Safety Technician (CRST),,Online,https://www.nait.ca/nait/continuing-education/programs/canadian-registered-safety-technician,,,,,,[],[],['Specific academic prerequisites are not listed in the text.']
NAIT,Certified Risk Management Professional - NAIT,Certified Risk Management Professional (CRMP),,,https://www.nait.ca/nait/continuing-education/programs/certified-risk-management-professional,,,,,,[],[],"[""The provided text refers to 'eligibility requirements' but does not list them.""]"
NAIT,Clean Energy - NAIT,Clean Energy,,,https://www.nait.ca/nait/continuing-education/programs/clean-energy,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,AWS Academy Cloud Foundations - NAIT,AWS Academy Cloud,,Online,https://www.nait.ca/nait/continuing-education/programs/computer-training-centre/aws-academy-cloud-foundations,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Power Platform for SharePoint Online Owners - NAIT,Power Platform for SharePoint Online Owners,Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/computer-training-centre/power-platform-for-sharepoint-online-owners,,,,,,[],[],['Specific academic credentials are not listed in the text.']
NAIT,QuickBooks Online Accounting - NAIT,QuickBooks Online Accounting,Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/computer-training-centre/quickbooks-online-accounting,,,,,,[],[],['No specific admission requirements like high school grades are listed in the text.']
NAIT,Software Testing Associate Certificate - NAIT,Software Testing Associate,Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/computer-training-centre/software-testing-associate-certificate,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Digital Marketing Associate Tracks - NAIT,Digital Marketing Associate Tracks,,Online,https://www.nait.ca/nait/continuing-education/programs/digital-marketing-associate-tracks,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Digital Marketing Professional Certification - NAIT,Digital Marketing Professional Certification,,Online,https://www.nait.ca/nait/continuing-education/programs/digital-marketing-professional-certification,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Digital Marketing Specialist - NAIT,Digital Marketing Specialist,,Online,https://www.nait.ca/nait/continuing-education/programs/digital-marketing-specialist,,,,,,[],[],['Specific admission requirements are not listed in the provided text.']
NAIT,Drone Training Certificate - NAIT,Drone Training,Certificate of Completion,Main Campus / Online,https://www.nait.ca/nait/continuing-education/programs/drone-training-certificate,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Energy Process Operator - NAIT,Energy Process Operator,Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/energy-process-operator,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Entrepreneurship - NAIT,Entrepreneurship and Business Management,,Online,https://www.nait.ca/nait/continuing-education/programs/entrepreneurship,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,"Equity, Diversity, and Inclusion - NAIT","Equity, Diversity, and Inclusion",Certificate,Online,https://www.nait.ca/nait/continuing-education/programs/equity-diversity-and-inclusion,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Full Stack Development - NAIT,Full Stack Development Bootcamp,,Online,https://www.nait.ca/nait/continuing-education/programs/full-stack-development,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,Generative AI: From Concepts to Real-World Solution - NAIT,Generative AI: From Concepts to Real-World Solution,,Online,https://www.nait.ca/nait/continuing-education/programs/generative-ai-from-concepts-to-real-world-solutio,,,,,,[],[],['Specific academic prerequisites are not listed in the text.']
NAIT,Interior Design Business Tools - NAIT,Interior Design Business Tools,,,https://www.nait.ca/nait/continuing-education/programs/interior-design-entrepreneurship,,,,,,[],[],['No specific admission requirements listed in the provided text.']
NAIT,International Society of Automation Courses - NAIT,International Society of Automation Courses,,Main Campus,https://www.nait.ca/nait/continuing-education/programs/international-society-of-automation,,,,,,[],[],['No specific admission requirements listed in the provided text.']
