Program,Credential_Type,Min_Avg_Final,Competitive_Final,Eng_Req,Eng_Min,Eng_30_2_Allowed,Math_Req,Math_Min,Social_Req,Social_Min,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Science_Min,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D,Status
Programmable Logic Controller Level II,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Programming Python Web Applications,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Python Developer,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Quality Management Referral Form,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Quantum for Engineers,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Quantum for Executives,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Questions,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
QuickBooks Online Accounting,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Real Estate Licensing Alberta,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Risk Management for Cybersecurity,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Risk Management in Project & Quality Management,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Sandvik Coromant and NAIT continue to shape future of machining - Giving,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
School of Construction and Building Sciences,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
School of Energy and Natural Resources,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
School of Health and Life Sciences,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
School of Manufacturing and Automation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
School of Media and Information Technology,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
School of Transportation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Schools & Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Search for Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Siemens Digital Fundamentals and Programmable Logic Controllers,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Skilled Trades Diploma and Certificate Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Skilled Trades Events Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Skills Alberta Contact Form,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Software Testing Associate,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
"Solar panels shine despite winter's blast, NAIT study finds",Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Sponsoring & Hiring Apprentices,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Student Case Competition Highlights 2017/18,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Student Promotional Awards 2018,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Student Promotional Awards 2019,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Student Success,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Students receive industry recognition and job placement for project,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Summer Programs,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Supply Chain Management,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Technical Drawing and Interpretation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Thank you,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Thank you!,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Tips for Mature Students,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Tolko gives pivotal gift to NAIT Forestry Technology students - Giving,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Unique “Queers and Peers Mentorship” program celebrates 3 years at NAIT,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Unlocking the Power of AI: Practical Insights,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Visual Communications (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Water and Wastewater Technician,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Web Design and Development (Area of Emphasis),Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Women Leading and Building Canada’s Future,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Women of Steel™: Forging Forward Program Comes to Edmonton,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Work Integrated Learning,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
geoLOGIC enhances students’ real-world skills and job prospects - Giving,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
n-Tier Development Programming Architecture,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
